code,kind,full_path,applications,mandatory_attributes,transaction_model,grade_gated,licence_gated,note
S1,pillar,Raw Materials - Bulk & Commodity Chemicals,,,marketplace,False,False,"High volume, low margin, spec-interchangeable. Tanker / ISO tank / bag / IBC. Buy on landed cost + reliability."
S10,segment,Raw Materials - Bulk & Commodity Chemicals > Feedstocks & Petrochemical Base,B07;B09,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,"Solvent naphtha, methanol, toluene, xylene, acetone, MEG/DEG, glycerine, phenol, formalin, EO/PO derivatives, fatty acids, fatty alcohols. Mostly DG Class 3."
S11,segment,"Raw Materials - Bulk & Commodity Chemicals > Acids, Alkalis & Inorganics",B01;B06;B08;B09;B14;B16,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,
S11.1,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Acids, Alkalis & Inorganics > Mineral Acids",B01;B08;B09;B14;B16,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,"Hydrochloric 33%, sulphuric 98%, nitric 68%, phosphoric 85% tech/food. DG Class 8, storage class SC-1."
S11.2,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Acids, Alkalis & Inorganics > Alkalis",B01;B02;B06;B09;B14,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,"Caustic soda flakes 98% / lye 47-50%, potassium hydroxide, soda ash light & dense. DG Class 8, storage class SC-2."
S11.3,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Acids, Alkalis & Inorganics > Salts & Inorganic Compounds",B01;B03;B06;B09;B16,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Sodium sulphate, bicarbonate, metabisulphite, hypochlorite 12.5%, alum, PAC, ferric chloride, lime, zinc oxide, titanium dioxide."
S11.4,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Acids, Alkalis & Inorganics > Industrial Gases",B07;B09;B13;B14;B16,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,"Nitrogen, oxygen, argon, CO2, hydrogen, LPG, acetylene, calibration mixes. Cylinder / dewar / bulk. DG Class 2, storage SC-5."
S12,segment,Raw Materials - Bulk & Commodity Chemicals > Solvents,B02;B03;B05;B09;B13;B14,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,"Best entry category: high repeat purchase, clear specs, strong price opacity."
S12.1,subsegment,Raw Materials - Bulk & Commodity Chemicals > Solvents > Hydrocarbon & Aliphatic Solvents,B03;B05;B14,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,"Hexane, heptane, kerosene, white spirit, D40/D60/D80, isoparaffins. DG Class 3, SC-3."
S12.2,subsegment,Raw Materials - Bulk & Commodity Chemicals > Solvents > Oxygenated Solvents,B02;B03;B09;B11;B12,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements,marketplace,False,False,"Methanol, ethanol (denatured/absolute/ENA), IPA, butanol, ethyl & butyl acetate, MEK, MIBK, acetone. DG Class 3."
